processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
BSHMT107-09	146	998522		G-OT169	American Museum of Natural History		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis	195562	Osteolaemus tetraspis tetraspis								Mitchell Eaton								M							-2.00218	9.37908							Gabon				Louri, Stream 2									
BSHMT123-09	BSHMT_92	998538			American Museum of Natural History		BOLD:AAA8321	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis	195563	Osteolaemus tetraspis osborni								Mitchell Eaton																							Republic of the Congo				Dzeke									
BSHMT132-09	G-CC13	998547		G-CC13	American Museum of Natural History		BOLD:AAC6458	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			165506	Mecistops	165507	Mecistops cataphractus					CUVIER 1825					Mitchell Eaton								M						Genus has since been changed - from Crocodylus to Mecistops	-3.6804	11.0766							Gabon				Mbokou-Wara R, Mayumba									
CYTC4938-12	HM488007	2780946		HM488007	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																			Crocodylus palustris									India													
GBGC11138-13	JF502247	3589348	St. Augustine A...		Mined from GenBank, NCBI		BOLD:ACI0039	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	500506	Crocodylus rhombifer					CUVIER 1807																																									
GBGC11145-13	JF502240	3589355	St. Augustine A...		Mined from GenBank, NCBI		BOLD:ACA0449	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462341	Crocodylus novaeguineae					SCHMIDT 1928																																									
GBGC11567-13	JX627062	3630600	JX627062	JX627062	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC11568-13	JX627061	3630601	JX627061	JX627061	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC11575-13	JX627054	3630608	JX627054	JX627054	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC11586-13	JX627043	3630619	JX627043	JX627043	Mined from GenBank, NCBI		BOLD:ACH5555	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC11591-13	JX627038	3630624	JX627038	JX627038	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC11597-13	JX627032	3630630	JX627032	JX627032	Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC11601-13	JX627028	3630634	JX627028	JX627028	Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC11611-13	JX627018	3630644	JX627018	JX627018	Mined from GenBank, NCBI		BOLD:ACH5555	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC4834-08	EU159864	787893	EU159864		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4841-08	EU159857	787900	EU159857		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4861-08	EU159837	787920	EU159837		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC6933-09	FJ390090	1020904	FJ390090		Mined from GenBank, NCBI		BOLD:AAA8320	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861					M. Shirley																							Ghana													
GBGCR1046-18	KP297881	8768812	UF:Herpetology:173082	KP297881	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768																												United States		Miami Dade County, FL											
